Type,C,P,SG
Settlement ,37,10.4,52.6
Vicus ,37.4,13.7,48.9
Settlement ,74.4,4.7,20.9
Settlement ,62,10.8,27.2
Villa ,48.7,29.2,22
Villa ,56.2,12.9,30.9
Villa ,59.5,10.1,30.4
Villa ,71.3,8.5,20.2
Settlement ,27,7.8,65.1
Vicus ,87.3,2.4,10.2
Vicus ,53,32.1,15
Villa ,60.4,14.2,25.5
Vicus ,76.3,2.5,21.2
Vicus ,74.3,8.9,16.8
Vicus ,54.7,16.8,28.5
Vicus ,37.3,26.1,36.7
Vicus ,48,12.2,39.8
Vicus ,69.3,8.5,22.2
Vicus ,69.2,11.1,19.7
Vicus ,20.3,35.5,44.2
Vicus ,27.6,33.8,38.6
Vicus ,45.5,29.7,24.8
Villa ,57.8,18.6,23.5
Villa ,48.9,30.1,21
Vicus ,58.8,7.8,33.5
Vicus ,81.7,6.5,11.8
Vicus ,68.6,7.3,24.1
Villa ,70.3,4.3,25.4
Villa ,70,3.2,26.8
Urban ,80.7,6.1,13.2
Urban ,86.2,6.8,7
Urban ,47.5,23.9,28.5
Urban ,69.8,13.7,16.4
Urban ,71.9,13.3,14.8
Urban ,93.2,1.5,5.4
Urban ,82.7,7.9,9.4
Urban ,64.9,12.2,23
Settlement ,65.8,16.8,17.4
Settlement ,63.2,19.3,17.5
Villa ,58.9,20.6,20.6
Villa ,48.1,15.9,36
Vicus ,40.2,4.1,55.7
Vicus ,52.3,9.8,37.9
Vicus ,57.1,13.8,29.1
Vicus ,56.2,9,34.8
Settlement ,34.4,6.3,59.3
Settlement ,42.5,6.9,50.6
Villa ,57.4,4.7,37.8
Vicus ,72.8,7.7,19.5
Urban ,55.4,19.7,25
Urban ,39.9,25.3,34.8
Urban ,41.4,31.7,26.8
Urban ,59.7,19.9,20.4
Settlement ,28,2.3,69.7
Settlement ,62.6,4.9,32.5
Villa ,35.2,41.1,23.7
Villa ,42.2,32,25.9
Settlement ,25.7,22.6,51.6
Settlement ,48.1,11.4,40.6
Villa ,51.7,14.1,34.2
Villa ,60,23.4,16.6
Urban ,59.5,16.4,24.1
Urban ,62.6,12.6,24.8
Vicus ,68,14.8,17.2
Vicus ,74.7,16.1,9.2
Vicus ,74.1,16.6,9.3
Vicus ,73.1,15.6,11.2
Vicus ,84.4,3,12.6
Settlement ,28.3,11.8,59.9
Settlement ,30.3,7.2,62.5
Settlement ,33.9,7.6,58.5
Vicus ,48.3,15.8,35.8
Vicus ,69.2,7.6,23.2
Vicus ,83.5,5.6,10.9
Vicus ,62.5,16.8,20.7
Settlement ,38.2,14.1,47.7
Settlement ,36.6,11.1,52.3
Settlement ,57,4.1,38.9
Settlement ,49.4,5.6,44.9
Vicus ,53.7,7.7,38.6
Vicus ,48.4,5.8,45.8
Vicus ,57.1,4.3,38.6
Vicus ,88,2,10
Villa ,76.3,16,7.6
Villa ,83.6,11.9,4.6
Settlement ,35.3,6.1,58.7
Settlement ,55.1,6.1,38.8
Urban ,57.2,28.6,14.2
Urban ,46,38.1,15.8
Urban ,75.5,16.7,7.8
Urban ,68.7,18.2,13.1
Urban ,59.5,17.6,22.9
Urban ,44.6,26.4,28.9
Urban ,52.3,30,17.7
Settlement ,82.1,2.7,15
Vicus ,58.9,8.6,32.4
Vicus ,66.9,12.6,20.5
Settlement ,43.3,5.2,51.5
Settlement ,72.6,17.6,9.8
Vicus ,40.1,7.9,52.1
Vicus ,70.6,6.4,23
Vicus ,73.7,7.6,18.6
Settlement ,17.4,12,70.7
Villa ,54,10.4,35.5
Vicus ,81,4.8,14.2
Vicus ,83.8,8.4,7.8
Settlement ,47.7,12.5,39.5
Settlement ,57.1,4.4,38.5
Settlement ,58.3,4.4,37.4
Villa ,50.2,18,31.8
Villa ,31.9,17.9,50.2
Villa ,90.3,0.9,8.8
Settlement ,43.4,3.8,52.8
Villa ,22.2,17.8,60
Villa ,23.3,20.7,56
Villa ,27.5,6.2,66.3
Vicus ,27.7,10.2,62
Vicus ,57.3,8.8,33.8
Villa ,51.9,19.7,28.4
Villa ,53.2,19.6,27.2
Villa ,63.6,11.6,24.8
Villa ,54.3,11.9,33.8
Settlement ,23.1,34.7,42.2
Urban ,35.4,30.3,34.3
Settlement ,68.1,2.4,29.5
Settlement ,40.6,23.9,35.5
Settlement ,43.5,3,53.4
Settlement ,52.6,5.1,42.3
Settlement ,42.9,7.3,49.7
Vicus ,43.3,11.2,45.5
Vicus ,36.1,18.8,45.1
Urban ,77.8,10.8,11.4
Settlement ,32.6,10.5,56.8
Settlement ,44.6,12.2,43.2
Villa ,63.9,3.7,32.5
Settlement ,38.6,17.8,43.6
Villa ,56,8.7,35.3
Villa ,64.6,11.5,23.9
Settlement ,48.5,15.7,35.7
Settlement ,51.2,2.8,46
Vicus ,29.5,14.6,55.9
Vicus ,40.4,13.7,45.9
Settlement ,37.2,7.1,55.8
Settlement ,69.9,15,15
Settlement ,47.9,13.3,38.9
Villa ,55.2,6.6,38.2
Villa ,51.4,21.9,26.6
Villa ,54.6,12.5,32.9
Settlement ,32.8,22.4,44.8
Villa ,42.5,18.2,39.3
Villa ,77.4,4.9,17.7
Villa ,79.6,5.1,15.3
Vicus ,39.8,8.8,51.4
Settlement ,52.6,7.4,40
Settlement ,37.9,4.4,57.8
Settlement ,54.2,32.1,13.1
Settlement ,59.9,36.1,7.2
Settlement ,62.7,9.9,27.4
Urban ,65.7,17.6,16.7
Settlement ,45.1,8.7,46.2
Settlement ,54.2,5.7,40.1
Settlement ,50.6,8.3,41
Settlement ,36.6,8.9,54.5
Villa ,70.2,5.9,23.9
Villa ,51.9,13.6,34.6
Villa ,76.5,4.5,19.1
Villa ,79.9,3.6,16.5
Villa ,73.1,4.4,22.5
Villa ,68,18.3,13.7
Vicus ,39.1,12.2,48.7
Vicus ,63.4,8.4,28.3
Vicus ,83.5,3.9,12.6
Urban ,27.4,4.4,68.2
Urban ,36.4,6.9,56.7
Urban ,48.7,12.8,38.5
Urban ,22.6,24.8,52.6
Urban ,36.1,24.7,39.2
Urban ,32,30,38
Urban ,30.9,27.8,41.2
Urban ,37.9,27.4,34.7
Urban ,49,21.9,29.2
Urban ,45.9,23.5,30.7
Settlement ,27.3,13.1,59.6
Settlement ,29.2,13.1,57.8
Settlement ,24.4,12.8,62.8
Settlement ,41.1,13.2,45.7
Settlement ,32.3,12.6,55.1
Settlement ,33.6,11.5,54.9
Settlement ,50,25.9,24.1
Villa ,43.1,32.7,24.2
Villa ,39.8,30.4,29.8
Villa ,53.4,19.8,26.8
Villa ,44.7,19.8,35.5
Villa ,10.1,70.3,19.6
Vicus ,64.5,8.2,27.3
Villa ,53.4,9.9,36.6
Vicus ,54.8,12.3,32.9
Vicus ,48.7,16.8,34.5
Vicus ,72.8,4.6,22.6
Vicus ,44.2,15.4,40.3
Settlement ,27.3,15.6,57.1
Settlement ,23.1,7.2,69.6
Settlement ,62.4,15.5,22.1
Urban ,43.1,22.2,34.7
Urban ,61.4,16.4,22.2
Urban ,36.1,19.7,44.2
Urban ,63.8,18.4,17.8
Urban ,37.1,22.9,40
Urban ,61.1,14.4,24.6
Urban ,70.8,10.7,18.5
Urban ,49.7,12.6,37.7
Urban ,79.5,7.1,13.5
Settlement ,63.4,5.1,31.4
Villa ,44.8,10.1,45.1
Settlement ,69.2,6,24.9
Settlement ,52.1,10.2,37.7
Settlement ,59.8,2.2,38
Settlement ,29.3,2.6,68.1
Villa ,66.2,5.6,28.2
Villa ,67,2.5,30.5
Villa ,64.7,2.8,32.4
Villa ,65.1,3.7,31.1
Settlement ,21.4,50.5,28
Settlement ,47.3,15.1,37.6
Villa ,42.9,18.6,38.6
Settlement ,39.1,34.3,26.7
Settlement ,29.4,36.3,34.4
Urban ,35.7,31.5,32.9
Urban ,26.2,15.5,58.4
Vicus ,37.1,18.7,44.2
Vicus ,26.1,27.8,46.1
Vicus ,56.4,28.9,14.7
Villa ,49.7,3.9,46.4
Vicus ,40.2,12.2,47.6
Vicus ,44.5,11.7,43.8
Settlement ,51.7,10.7,37.6
Settlement ,55.7,17.8,26.5
Settlement ,59.8,16.5,23.8
Settlement ,82.1,2.2,15.7
Settlement ,74.8,4.3,20.9
Settlement ,82.3,1.8,16
Settlement ,78.6,2.7,18.7
Settlement ,59.4,18.8,21.7
Villa ,38.2,5.6,56.2
Vicus ,30.7,8.9,60.4
Vicus ,35.2,7.6,57.2
Settlement ,66.1,2.3,31.7
Settlement ,46.4,7.2,46.4
Settlement ,63.3,6.6,30.1
Settlement ,33.5,10.3,56.2
Vicus ,66.4,15.8,17.8
Urban ,68.7,17.2,14.1
Urban ,69,13.9,17.2
Urban ,65.5,17.1,17.4
